personname,finalworth_2022,finalworth_2018,selfmade,age,category,country,gender
Niels Peter Louis-Hansen,7200,4000,False,74,Healthcare,Denmark,M
Reinhold Schmieding,7200,4000,True,67,Healthcare,United States,M
Wee Cho Yaw,7200,6000,False,93,Finance & Investments,Singapore,M
Arthur Blank,7100,4000,True,79,Sports,United States,M
J. Christopher Reyes,7100,4000,True,68,Food & Beverage,United States,M
Jude Reyes,7100,4000,True,66,Food & Beverage,United States,M
Judy Faulkner,7000,3000,True,78,Technology,United States,F
Robin Li,7000,12000,True,53,Technology,China,M
Roman Abramovich,6900,10000,True,55,Diversified,Russia,M
Micky Arison,6900,9000,False,72,Service,United States,M
Terry Gou,6900,8000,True,71,Technology,Taiwan,M
Jiang Bin,6900,3000,True,55,Technology,China,M
Vinod Khosla,6900,2000,True,67,Technology,United States,M
Ralph Lauren,6900,6000,True,82,Fashion & Retail,United States,M
Douglas Leone,6900,3000,True,64,Finance & Investments,United States,M
Horst Julius Pudwill,6900,2000,True,77,Manufacturing,Hong Kong,M
Harry Stine,6900,3000,True,80,Food & Beverage,United States,M
Dennis Washington,6900,5000,True,87,Logistics,United States,M
Stanley Druckenmiller,6800,4000,True,68,Finance & Investments,United States,M
Jonathan Gray,6800,2000,True,52,Finance & Investments,United States,M
Frank Lowy,6800,5000,True,91,Real Estate,Israel,M
Ronda Stryker,6800,5000,False,67,Healthcare,United States,F
Benu Gopal Bangur,6700,6000,False,90,Manufacturing,India,M
James Goodnight,6700,9000,True,79,Technology,United States,M
Dannine Avara,6600,5000,False,58,Energy,United States,F
Patrick Drahi,6600,7000,True,58,Telecom,Switzerland,M
Scott Duncan,6600,5000,False,39,Energy,United States,M
Milane Frantz,6600,5000,False,52,Energy,United States,F
Andreas Halvorsen,6600,3000,True,60,Finance & Investments,United States,M
Law Kar Po,6600,5000,False,73,Real Estate,Hong Kong,M
Nicolas Puech,6600,2000,False,79,Fashion & Retail,Switzerland,M
Viktor Rashnikov,6600,9000,True,73,Manufacturing,Russia,M
Dmitry Rybolovlev,6600,6000,True,55,Manufacturing,Monaco,M
Chen Jianhua,6500,1000,True,51,Manufacturing,China,M
John Grayken,6500,6000,True,65,Finance & Investments,United Kingdom,M
Ray Lee Hunt,6500,4000,False,78,Energy,United States,M
"Henry Nicholas, III.",6500,3000,True,62,Technology,United States,M
John Overdeck,6500,4000,True,52,Finance & Investments,United States,M
David Siegel,6500,4000,True,60,Finance & Investments,United States,M
Juergen Blickle,6400,4000,False,75,Manufacturing,Germany,M
Cheng Xue,6400,2000,True,52,Food & Beverage,China,F
"Edward Johnson, IV.",6300,3000,False,57,Finance & Investments,United States,M
Sri Prakash Lohia,6300,7000,False,69,Manufacturing,United Kingdom,M
Bobby Murphy,6300,4000,True,33,Technology,United States,M
Wu Jianshu,6300,1000,True,58,Automotive,China,M
Bruce Kovner,6200,5000,True,77,Finance & Investments,United States,M
Pham Nhat Vuong,6200,4000,True,53,Diversified,Vietnam,M
Michal Solowow,6200,3000,True,59,Finance & Investments,Poland,M
Leonard Stern,6200,4000,False,84,Real Estate,United States,M
Rocco Commisso,6100,4000,True,72,Telecom,United States,M
Jack Dorsey,6100,3000,True,45,Technology,United States,M
Lin Li,6100,2000,True,58,Finance & Investments,China,M
George Lucas,6100,5000,True,77,Media & Entertainment,United States,M
Evan Spiegel,6100,4000,True,31,Technology,United States,M
Zhao Yan,6100,1000,True,55,Diversified,China,F
Tom Gores,6000,3000,True,57,Finance & Investments,United States,M
Alexei Kuzmichev,6000,7000,True,59,Energy,Russia,M
