rank,personName,age,finalWorth,category,country,gender_F,gender_M
441,Niels Peter Louis-Hansen,70,4000,1,57,0,1
441,Fredrik Lundberg,66,4000,14,18,0,1
441,Gwendolyn Sontheim Meyer,56,4000,16,20,1,0
441,J. Christopher Reyes,64,4000,16,20,0,1
441,Jude Reyes,62,4000,16,20,0,1
441,Alexandra Schoerghuber,59,4000,14,62,1,0
441,Sheldon Solow,89,4000,14,20,0,1
441,Lucio Tan,83,4000,13,45,0,1
456,Andrej Babis,63,4000,16,12,0,1
456,Dona Bertarelli,50,4000,13,70,1,0
456,Cai Kui,55,4000,14,26,0,1
456,Bidzina Ivanishvili,62,4000,10,39,0,1
456,"Jeremy Jacobs, Sr.",78,4000,11,20,0,1
456,Chris Larsen,57,4000,10,20,0,1
456,Patrick Lee,75,4000,12,1,0,1
456,Liang Wengen,61,4000,12,26,0,1
456,Denis O'Brien,59,4000,18,2,0,1
466,Jean-Pierre Cayard,75,4000,16,36,0,1
466,Chey Tae-Won,57,4000,18,53,0,1
466,Fang Wei,44,4000,12,26,0,1
466,Andrei Guriev,57,4000,12,35,0,1
466,Bertil Hult,77,4000,11,18,0,1
466,Ji Changqun,50,4000,14,26,0,1
466,"Paul Tudor Jones, II.",63,4000,10,20,0,1
466,Robert Miller,84,4000,17,3,0,1
466,Sergei Popov,46,4000,10,35,0,1
466,Juan Roig,68,4000,17,38,0,1
466,John Sall,69,4000,8,20,0,1
466,Leonard Stern,79,4000,14,20,0,1
466,Ye Chenghai,74,4000,1,1,0,1
480,Anthony Bamford,72,4000,3,3,0,1
480,Chu Mang Yee,58,4000,14,26,0,1
480,Juan Carlos Escotet,58,4000,10,32,0,1
480,Miguel Fluxa Rossello,79,4000,11,38,0,1
480,Andrew Forrest,56,4000,0,65,0,1
480,Paul Gauselmann,83,4000,4,62,0,1
480,Tamara Gustavson,56,4000,11,20,1,0
480,Micky Jagtiani,66,4000,17,44,0,1
480,Johan Johannson,51,4000,17,67,0,1
