Rank,Name,Age,Source,Industry,Gender,Continent,Country,Headquarters,State,Net Worth,Title
251.0,Kirsten Rausing,65.0,packaging,Food and Beverage,Female,Europe,Sweden,,,6.6,
251.0,Odd Reitan,66.0,"retail, real estate",Fashion & Retail,Male,Europe,Norway,,,6.6,
251.0,Nassef Sawiris,57.0,"construction, chemicals",Construction & Engineering,Male,Africa,Egypt,,,6.6,
251.0,Wee Cho Yaw,89.0,banking,Finance and Investments,Male,Asia,Singapore,,,6.6,
251.0,Aloys Wobben,66.0,wind turbines,Energy,Male,Europe,Germany,,,6.6,
261.0,Leon Black,66.0,private equity,Finance and Investments,Male,North America,United States,NY,New York,6.5,
261.0,Ivan Glasenberg,61.0,mining,Metals & Mining,Male,Europe,Switzerland,,,6.5,
261.0,John Paulson,62.0,hedge funds,Finance and Investments,Male,North America,United States,NY,New York,6.5,"Founder, Paulson & Co. Inc."
261.0,Wei Jianjun,54.0,automobiles,Automotive,Male,Asia,China,,,6.5,
265.0,Francis Choi,70.0,real estate,Real Estate,Male,Asia,Hong Kong,,,6.4,
265.0,Erivan Haub,85.0,retail,Fashion & Retail,Male,Europe,Germany,,,6.4,
265.0,Jason Jiang,45.0,advertising,Media & Entertainment,Male,Asia,China,,,6.4,
265.0,Suleiman Kerimov,51.0,investments,Finance and Investments,Male,Asia,Russia,,,6.4,
265.0,Ian & Richard Livingstone,,real estate,Real Estate,Male,Europe,United Kingdom,,,6.4,
265.0,Pang Kang,62.0,soy sauce maker,Food and Beverage,Male,Asia,China,,,6.4,
265.0,David Shaw,66.0,hedge funds,Finance and Investments,Male,North America,United States,NY,New York,6.4,"Founder, D. E. Shaw & Co., L.P."
265.0,Kushal Pal Singh,86.0,real estate,Real Estate,Male,Asia,India,,,6.4,
265.0,John A. Sobrato,78.0,real estate,Real Estate,Male,North America,United States,CA,California,6.4,"Founder and Chairman, Sobrato Development Cos."
274.0,Acharya Balkrishna,45.0,consumer goods,Food and Beverage,Male,Asia,India,,,6.3,
274.0,Guenther Fielmann,78.0,optometry,Healthcare,Male,Europe,Germany,,,6.3,
274.0,Daniel Gilbert,56.0,Quicken Loans,Finance and Investments,Male,North America,United States,MI,Michigan,6.3,
274.0,Antonia Johnson,74.0,diversified,Diversified,Female,Europe,Sweden,,,6.3,
274.0,Vikram Lal,76.0,motorcycles,Automotive,Male,Asia,India,,,6.3,
274.0,Akira Mori,81.0,real estate,Real Estate,Male,Asia,Japan,,,6.3,
274.0,Maria-Elisabeth Schaeffler-Thumann,76.0,auto parts,Automotive,Female,Europe,Germany,,,6.3,
281.0,Albert Frere,92.0,investments,Finance and Investments,Male,Europe,Belgium,,,6.2,
281.0,Richard Kinder,73.0,pipelines,Energy,Male,North America,United States,TX,Texas,6.2,"Chairman and CEO, Kinder Morgan"
281.0,Robert Kraft,76.0,New England Patriots,Sports,Male,North America,United States,MA,Massachusetts,6.2,"Chairman & CEO, The Kraft Group"
281.0,Ralph Lauren,78.0,Ralph Lauren,Fashion & Retail,Male,North America,United States,NY,New York,6.2,"Chairman, Ralph Lauren Corporation"
281.0,Bruno Schroder,85.0,banking,Finance and Investments,Male,Europe,United Kingdom,,,6.2,
281.0,Nusli Wadia,74.0,consumer goods,Food and Beverage,Male,Asia,India,,,6.2,
287.0,Pierre Bellon,88.0,food services,Service,Male,Europe,France,,,6.1,
