personname,finalworth_2022,finalworth_2018,selfmade
Julio Ponce Lerou,3600,4000,True
Chandru Raheja,3600,2000,False
Shi Yuzhu,3600,2000,True
Jerry Speyer,3600,3000,True
Tung Chee Chen,3600,2000,False
Roger Wang,3600,4000,True
Wu Shaoxun,3600,7000,True
Carl Douglas,3500,1000,False
Eric Douglas,3500,1000,False
Juan Carlos Escotet,3500,4000,True
Fiona Geminder,3500,2000,False
James Irsay,3500,2000,False
Kuok Khoon Hong,3500,2000,False
Jeffrey Lurie,3500,2000,False
Mary Alice Dorrance Malone,3500,3000,False
Ronald McAulay,3500,3000,False
Arnon Milchan,3500,3000,True
Masahiro Noda,3500,1000,True
Lynn Schusterman,3500,3000,False
Gil Shwed,3500,2000,True
Thomas Siebel,3500,2000,True
Friede Springer,3500,5000,False
Wang Zhenhua,3500,3000,True
Hans Peter Wild,3500,3000,False
"William Wrigley, Jr.",3500,2000,False
Xia Zuoquan,3500,1000,True
Xue Hua,3500,1000,True
Mohed Altrad,3400,2000,True
Sid Bass,3400,3000,False
Nick Caporella,3400,3000,True
David Gottesman,3400,2000,True
John Middleton,3400,3000,False
Nandan Nilekani,3400,1000,True
Bob Parsons,3400,2000,True
Prasert Prasarttong-Osoth,3400,3000,True
Richard Sands,3400,3000,False
Robert Sands,3400,3000,False
T. Denny Sanford,3400,2000,True
Naguib Sawiris,3400,4000,False
Pavel Tykac,3400,1000,True
Meg Whitman,3400,3000,True
An Kang,3300,1000,True
John Arnold,3300,3000,True
Tomasz Biernacki,3300,1000,True
Ralph Dommermuth,3300,5000,True
Walter Faria,3300,3000,True
Bob Gaglardi,3300,2000,True
John Gandel,3300,4000,False
Micky Jagtiani,3300,4000,False
H. Fisk Johnson,3300,3000,False
S. Curtis Johnson,3300,3000,False
Helen Johnson-Leipold,3300,3000,False
Miguel Krigsner,3300,1000,True
Lin Ming-hsiung,3300,1000,True
Kiran Mazumdar-Shaw,3300,3000,True
Patrice Motsepe,3300,2000,True
Alfred Oetker,3300,2000,False
Carl Ferdinand Oetker,3300,2000,False
Julia Oetker,3300,2000,False
Or Wai Sheun,3300,2000,True
Jay Paul,3300,2000,True
Theodore Rachmat,3300,1000,False
John Sall,3300,4000,True
Stefan von Holtzbrinck,3300,1000,False
Nusli Wadia,3300,6000,False
Steve Wynn,3300,3000,True
Vanich Chaiyawan,3200,3000,True
James Clark,3200,2000,True
Jack Cowin,3200,1000,True
Sergei Galitsky,3200,4000,True
Peter Gilgan,3200,3000,True
Joseph Grendys,3200,2000,True
Thomas Hagen,3200,2000,False
Michael Hintze,3200,2000,True
Pansy Ho,3200,5000,False
Alan Howard,3200,1000,True
Kei Hoi Pang,3200,5000,True
Najib Mikati,3200,2000,True
Taha Mikati,3200,2000,True
Gail Miller,3200,1000,True
Vikas Oberoi,3200,2000,False
"H. Ross Perot, Jr.",3200,2000,False
Penny Pritzker,3200,2000,False
Yasumitsu Shigeta,3200,4000,True
Rita Tong Liu,3200,3000,True
Zhang Daocai,3200,1000,True
John Caudwell,3100,2000,True
Philippe Foriel-Destezet,3100,2000,True
Mitchell Goldhar,3100,2000,True
Otto Happel,3100,3000,False
