rank,personName,age,finalWorth,category,country,gender_F,gender_M
398,Jiang Weiping & family,67,6400,3,34,0,1
398,Takahisa Takahara,60,6400,15,9,0,1
403,Orlando Bravo,51,6300,0,49,0,1
403,Hong Ra-hee,76,6300,2,64,1,0
403,"Edward Johnson, IV.",57,6300,0,49,0,1
403,Li Xiaohua & family,60,6300,3,34,0,1
403,Sri Prakash Lohia,69,6300,3,35,0,1
403,Miao Hangen,57,6300,4,34,0,1
403,Bobby Murphy,33,6300,2,49,0,1
403,Wu Jianshu,58,6300,6,34,0,1
411,Maria Asuncion Aramburuzabala & family,58,6200,10,32,1,0
411,Melinda French Gates,57,6200,2,49,1,0
411,Bruce Kovner,77,6200,0,49,0,1
411,Pham Nhat Vuong,53,6200,4,42,0,1
411,Michal Solowow,59,6200,0,65,0,1
411,Leonard Stern,84,6200,12,49,0,1
411,Stef Wertheimer & family,95,6200,3,11,0,1
418,Rocco Commisso,72,6100,17,49,0,1
418,Jack Dorsey,45,6100,2,49,0,1
418,Lin Li,58,6100,0,34,0,1
418,George Lucas,77,6100,1,49,0,1
418,Evan Spiegel,31,6100,2,49,0,1
418,Zhao Yan,55,6100,4,34,1,0
424,Tom Gores,57,6000,0,49,0,1
424,Leo Koguan,67,6000,2,52,0,1
424,Alexei Kuzmichev,59,6000,13,59,0,1
424,Fredrik Lundberg,70,6000,12,37,0,1
424,John Morris,74,6000,15,49,0,1
424,Ivar Tollefsen,60,6000,12,31,0,1
431,Stephen Bisciotti,61,5900,9,49,0,1
431,Mahendra Choksi & family,80,5900,3,56,0,1
431,Jian Jun,58,5900,7,34,1,0
431,Barry Lam,72,5900,2,63,0,1
431,Michael Moritz,67,5900,2,49,0,1
431,Teh Hong Piow,92,5900,0,20,0,1
431,Gary Wang,28,5900,0,57,0,1
438,Andre Esteves,53,5800,0,23,0,1
438,Joshua Harris,57,5800,0,49,0,1
438,Rakesh Jhunjhunwala,61,5800,0,56,0,1
438,Ken Langone,86,5800,0,49,0,1
438,Ludwig Merckle,57,5800,0,66,0,1
438,Sandra Ortega Mera,53,5800,15,53,1,0
438,Terrence Pegula,71,5800,13,49,0,1
438,Karen Pritzker,64,5800,0,49,1,0
438,Mitchell Rales,65,5800,3,49,0,1
438,Wolfgang Reimann,69,5800,15,66,0,1
438,Matthias Reimann-Andersen,57,5800,15,66,0,1
438,Stefan Reimann-Andersen,58,5800,15,69,0,1
438,Renate Reimann-Haas,70,5800,15,69,1,0
438,Ruan Liping,58,5800,3,34,0,1
438,Ruan Xueping,50,5800,3,34,0,1
438,Charles Simonyi,73,5800,2,49,0,1
438,John A. Sobrato & family,82,5800,12,49,0,1
438,David Steward,70,5800,2,49,0,1
438,Radovan Vitek,50,5800,12,24,0,1
438,Les Wexner & family,84,5800,15,49,0,1
438,Aloys Wobben,70,5800,13,66,0,1
438,Sam Zell,80,5800,12,49,0,1
460,Anthony Bamford & family,76,5700,16,35,0,1
460,Rainer Blickle,74,5700,3,66,0,1
460,Clive Calder,75,5700,1,45,0,1
460,Frits Goldschmeding,88,5700,8,33,0,1
460,Ananda Krishnan,84,5700,17,20,0,1
460,Joe Mansueto,65,5700,0,49,0,1
460,Odd Reitan & family,70,5700,15,31,0,1
460,Antony Ressler,60,5700,0,49,0,1
460,Tang Xiao'ou,54,5700,2,34,0,1
460,Tse Ping,70,5700,7,17,0,1
460,Ken Xie,59,5700,2,49,0,1
471,Tilman Fertitta,64,5600,10,49,0,1
471,Prajogo Pangestu,77,5600,4,7,0,1
471,"Edward Roski, Jr.",83,5600,12,49,0,1
